No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,Cu,MT,20mg150sIRMS_delay,100,38610,352,1,1,1.01,0.01,0.0129,comb tube changed,10/10/22 12:49
2,"Nu,Cu",MT,20mg150sIRMS_delay,100,246,161,1,1,0.01,0.01,0.9149,,10/10/22 13:02
3,"Nu,Cu",MT,20mg150sIRMS_delay,100,298,110,1,1,0.01,0,0.5185,,10/10/22 13:17
4,"Nu,Cu",MT,20mg150sIRMS_delay,100,280,115,1,1,0.01,0,0.5711,,10/10/22 13:30
5,"Nu,Cu",MT,20mg150sIRMS_delay,100,280,95,1,1,0.01,0,0.4734,,10/10/22 13:46
6,"Nu,Cu",MT,20mg150sIRMS_delay,100,250,107,1,1,0.01,0,0.5944,,10/10/22 13:59
7,"Nu,Cu",MT,20mg150sIRMS_delay,100,283,73,1,1,0.01,0,0.3584,,10/10/22 14:14
8,"Nu,Cu",MT,20mg150sIRMS_delay,100,245,64,1,1,0.01,0,0.3629,,10/10/22 14:27
9,,runin,20mg150sIRMS_delay,0.46,2321,5240,1,1,13.17,41.72,3.1692,,10/10/22 14:45
10,,runin,20mg150sIRMS_delay,0.54,2615,5938,1,1,12.63,40.28,3.1885,,10/10/22 14:58
11,,aspartic,20mg150sIRMS_delay,0.45,2354,5044,0.7707,0.8792,10.52,36.09,3.4306,,10/10/22 15:11
12,,aspartic,20mg150sIRMS_delay,0.56,2857,6365,0.7904,0.8666,10.52,36.09,3.4306,,10/10/22 15:24
13,Nu,1,20mg150sIRMS_delay,10.37,589,15382,0.7805,0.8729,0.12,4.77,40.8825,,10/10/22 15:37
14,,2,20mg150sIRMS_delay,9.98,788,5289,0.7805,0.8729,0.16,1.69,10.4794,,10/10/22 15:50
15,,3,20mg150sIRMS_delay,10.17,1261,8904,0.7805,0.8729,0.25,2.8,11.0876,,10/10/22 16:03
16,"Nu,Cu",4,20mg150sIRMS_delay,9.64,377,895,0.7805,0.8729,0.08,0.3,3.7115,,10/10/22 16:16
17,,5,20mg150sIRMS_delay,9.81,803,15942,0.7805,0.8729,0.17,5.23,31.1877,,10/10/22 16:30
18,"Nu,Cu",6,20mg150sIRMS_delay,10.31,371,991,0.7805,0.8729,0.07,0.31,4.1685,,10/10/22 16:43
19,,7,20mg150sIRMS_delay,10.26,1084,9160,0.7805,0.8729,0.22,2.86,13.2626,,10/10/22 16:56
20,"Nu,Cu",8,20mg150sIRMS_delay,10.44,451,1589,0.7805,0.8729,0.09,0.49,5.5058,,10/10/22 17:09
21,,9,20mg150sIRMS_delay,9.63,1071,17810,0.7805,0.8729,0.23,5.95,26.203,,10/10/22 17:22
22,Nu,10,20mg150sIRMS_delay,9.65,595,6729,0.7805,0.8729,0.13,2.23,17.617,,10/10/22 17:35
23,"Nu,Cu",11,20mg150sIRMS_delay,9.91,301,567,0.7805,0.8729,0.06,0.18,2.9371,,10/10/22 17:48
24,"Nu,Cu",12,20mg150sIRMS_delay,9.7,373,1663,0.7805,0.8729,0.08,0.55,6.9538,,10/10/22 18:02
25,"Nu,Cu",13,20mg150sIRMS_delay,9.68,355,583,0.7805,0.8729,0.08,0.19,2.5601,,10/10/22 18:15
26,"Nu,Cu",14,20mg150sIRMS_delay,9.65,385,1415,0.7805,0.8729,0.08,0.47,5.7437,,10/10/22 18:28
27,"Nu,Cu",15,20mg150sIRMS_delay,10.57,379,1152,0.7805,0.8729,0.07,0.35,4.747,,10/10/22 18:41
28,"Nu,Cu",15-rep,20mg150sIRMS_delay,10.52,386,1156,0.7805,0.8729,0.08,0.35,4.677,,10/10/22 18:54
29,"Nu,Cu",MT,20mg150sIRMS_delay,100,247,34,0.7805,0.8729,0.01,0,0.2151,,10/10/22 19:07
30,,aspartic,20mg150sIRMS_delay,0.5,2383,5524,0.8461,0.8919,10.52,36.09,3.4306,,10/10/22 19:20
31,"Nu,Cu",16,20mg150sIRMS_delay,10.24,429,867,0.8461,0.8919,0.09,0.28,2.9734,,10/10/22 19:34
32,"Nu,Cu",17,20mg150sIRMS_delay,9.58,449,2015,0.8461,0.8919,0.1,0.69,6.6108,,10/10/22 19:47
33,bl,18,20mg150sIRMS_delay,9.77,615,15360,0.8461,0.8919,0.14,5.16,36.8908,,10/10/22 20:01
34,,19,20mg150sIRMS_delay,9.5,696,4953,0.8461,0.8919,0.16,1.7,10.4603,,10/10/22 20:14
35,"Nu,Cu",20,20mg150sIRMS_delay,9.92,464,1919,0.8461,0.8919,0.1,0.63,6.0842,,10/10/22 20:27
36,"Nu,Cu",21,20mg150sIRMS_delay,10.48,496,1876,0.8461,0.8919,0.11,0.59,5.5681,,10/10/22 20:40
37,"Nu,Cu",22,20mg150sIRMS_delay,10.21,439,1358,0.8461,0.8919,0.1,0.44,4.5554,,10/10/22 20:53
38,"Nu,Cu",23,20mg150sIRMS_delay,10.72,463,1025,0.8461,0.8919,0.1,0.31,3.2612,,10/10/22 21:07
39,"Nu,Cu",24,20mg150sIRMS_delay,9.95,291,710,0.8461,0.8919,0.07,0.23,3.5926,,10/10/22 21:20
40,"Nu,Cu",25,20mg150sIRMS_delay,9.6,478,1393,0.8461,0.8919,0.11,0.48,4.2954,,10/10/22 21:33
41,"Nu,Cu",26,20mg150sIRMS_delay,10.28,359,540,0.8461,0.8919,0.08,0.17,2.2108,,10/10/22 21:46
42,,27,20mg150sIRMS_delay,9.76,785,7709,0.8461,0.8919,0.18,2.58,14.4693,,10/10/22 21:59
43,"Nu,Cu",28,20mg150sIRMS_delay,10.61,394,534,0.8461,0.8919,0.08,0.16,1.9963,,10/10/22 22:13
44,"Nu,Cu",29,20mg150sIRMS_delay,9.88,415,1241,0.8461,0.8919,0.09,0.41,4.4066,,10/10/22 22:26
45,"Nu,Cu",30,20mg150sIRMS_delay,10.13,404,923,0.8461,0.8919,0.09,0.3,3.3615,,10/10/22 22:39
46,"Nu,Cu",30-rep,20mg150sIRMS_delay,10.6,418,1128,0.8461,0.8919,0.09,0.35,3.9732,,10/10/22 22:52
47,"Nu,Cu",MT,20mg150sIRMS_delay,100,246,46,0.8461,0.8919,0.01,0,0.2765,,10/10/22 23:05
48,,aspartic,20mg150sIRMS_delay,0.48,2362,5399,0.8192,0.876,10.52,36.09,3.4306,,10/10/22 23:18
