Batch Report,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Id,Name,Sample Type,Sample Group,Comparison,N2,,,CO2,,
,,,,,Height (nA),δ¹⁵N (Gas),δ¹⁵N (Air),Height (nA),δ¹³C (Gas),δ¹³C (VPDB)
4912,aspartic-1 mg,(none),,FALSE,4.31,0.30,6.97,11.35,-4.31,-34.40
4913,aspartic-3 mg,(none),,FALSE,13.40,0.06,6.37,24.87,-4.59,-34.71
,,,,,8.86,0.18,6.67,18.11,-4.45,-34.56
,,,,,6.42,0.17,0.43,9.56,0.20,0.22
4877,runin,aspartics,aspartics,FALSE,2.27,1.02,8.81,5.99,-3.60,-33.63
4878,runin,aspartics,aspartics,FALSE,2.30,1.00,8.75,5.81,-3.65,-33.69
4879,runin,aspartics,aspartics,FALSE,2.07,1.42,9.81,5.61,-3.29,-33.29
4880,aspartic,aspartics,aspartics,FALSE,2.26,1.21,9.28,5.38,-2.99,-32.96
4881,aspartic,aspartics,aspartics,FALSE,2.07,-0.01,6.20,5.68,-2.31,-32.22
4882,aspartic,aspartics,aspartics,FALSE,2.09,0.32,7.04,5.51,-1.61,-31.45
4899,aspartic,aspartics,aspartics,FALSE,2.10,-0.15,5.83,6.10,-4.36,-34.46
4910,aspartic,aspartics,aspartics,FALSE,1.87,0.12,6.51,5.39,-4.13,-34.21
4911,aspartic-0.1 mg,aspartics,aspartics,FALSE,0.52,0.37,7.15,1.62,-3.51,-33.53
,,,,,1.95,0.59,7.71,5.23,-3.27,-33.27
,,,,,0.55,0.58,1.47,1.38,0.87,0.95
4870,MT,(none),blanks,FALSE,3.63,1.92,11.08,2.05,2.40,-27.09
4871,MT,(none),blanks,FALSE,0.10,-11.07,-21.84,0.48,2.19,-27.31
4872,MT,(none),blanks,FALSE,0.10,-6.81,-11.04,0.04,-4.66,-34.78
4873,,(none),blanks,FALSE,,,,,,
4874,MT,(none),blanks,FALSE,0.11,-8.78,-16.04,0.04,-2.28,-32.18
4875,MT,(none),blanks,FALSE,0.10,-7.31,-12.30,0.03,-7.10,-37.44
4876,MT,(none),blanks,FALSE,0.09,-8.07,-14.24,0.03,-3.06,-33.04
4898,MT,(Blank),blanks,FALSE,0.09,-8.48,,0.06,-0.88,
4909,MT,(Blank),blanks,FALSE,0.09,-2.16,,0.08,-2.75,
4918,MT,(Blank),blanks,FALSE,0.14,-10.82,,0.03,-33.46,
4919,MT,(Blank),blanks,FALSE,0.09,-5.03,,0.03,-2.42,
,,,,,0.45,-6.66,-10.73,0.29,-5.20,-31.98
,,,,,1.11,3.99,11.33,0.64,10.33,4.11
4914,moran-low,Moran_LOW,moran-low,FALSE,0.22,-6.63,-10.60,0.83,15.38,-12.92
4915,moran-low,Moran_LOW,moran-low,FALSE,0.13,-7.19,-12.01,0.58,16.51,-11.69
4920,moran-low,Moran_LOW,moran-low,FALSE,0.11,-5.34,-7.31,6.28,15.62,-12.66
,,,,,0.15,-6.39,-9.97,2.56,15.84,-12.43
,,,,,0.06,0.95,2.41,3.22,0.59,0.65
4916,moran-med,Moran_MED,moran-med,FALSE,0.13,28.90,79.49,0.64,43.14,17.36
4917,moran-med,Moran_MED,moran-med,FALSE,0.15,26.64,73.74,0.61,43.08,17.29
4921,moran-med,Moran_MED,moran-med,FALSE,0.12,22.80,64.03,8.91,42.84,17.03
,,,,,0.13,26.11,72.42,3.39,43.02,17.23
,,,,,0.01,3.08,7.82,4.78,0.16,0.17
4883,105,(none),samples,FALSE,0.14,-2.15,0.76,0.61,3.20,-26.21
4884,105,(none),samples,FALSE,0.11,-0.17,5.78,0.60,1.85,-27.68
4885,105,(none),samples,FALSE,0.11,-0.20,5.71,0.64,1.62,-27.94
4886,92,(none),samples,FALSE,0.12,-3.33,-2.22,1.61,1.55,-28.01
4887,92,(none),samples,FALSE,0.14,1.58,10.22,1.90,1.38,-28.19
4888,92,(none),samples,FALSE,0.15,-0.25,5.59,1.46,1.08,-28.52
4889,97,(none),samples,FALSE,0.11,-2.63,-0.44,0.81,0.49,-29.16
4890,97,(none),samples,FALSE,0.13,-1.18,3.22,0.73,1.11,-28.49
4891,97,(none),samples,FALSE,0.14,1.32,9.57,0.80,0.99,-28.62
4892,102,(none),samples,FALSE,0.13,-2.14,0.81,1.71,-0.78,-30.56
4893,102,(none),samples,FALSE,0.17,1.51,10.04,1.77,-0.58,-30.34
4894,102,(none),samples,FALSE,0.11,-1.20,3.19,1.71,-1.34,-31.16
4895,135,(none),samples,FALSE,0.13,-1.86,1.50,0.99,10.00,-18.79
4896,135,(none),samples,FALSE,0.18,1.74,10.63,1.12,9.96,-18.84
4897,135,(none),samples,FALSE,0.11,-0.34,5.37,1.37,9.08,-19.80
4900,124,(none),samples,FALSE,0.16,2.01,11.33,1.11,0.18,-29.50
4901,124,(none),samples,FALSE,0.12,0.67,7.91,1.01,0.35,-29.32
4902,124,(none),samples,FALSE,0.18,0.92,8.55,1.04,0.26,-29.42
4903,129,(none),samples,FALSE,0.79,-0.17,5.80,14.90,0.32,-29.35
4904,129,(none),samples,FALSE,0.91,-0.07,6.04,16.14,0.28,-29.39
4905,129,(none),samples,FALSE,0.71,-0.13,5.90,13.71,0.22,-29.46
4906,132,(none),samples,FALSE,0.11,-6.46,-10.15,0.56,-2.29,-32.20
4907,132,(none),samples,FALSE,0.11,-7.31,-12.32,0.56,-2.48,-32.41
4908,132,(none),samples,FALSE,0.12,-1.78,1.70,0.55,-2.36,-32.27
,,,,,0.22,-0.90,3.94,2.81,1.42,-28.15
,,,,,0.23,2.36,5.97,4.71,3.47,3.79
