No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,Cu,MT,20mg150sIRMS_delay,100,4160,420,1,1,0.11,0.02,0.1422,ash crucible changed,12/19/22 16:26
2,"Nu,Cu",MT,20mg150sIRMS_delay,100,151,89,1,1,0,0,0.8273,,12/19/22 16:39
3,"Nu,Cu",MT,20mg150sIRMS_delay,100,152,7,1,1,0,0,0.0637,,12/19/22 16:52
4,"Nu,Cu",MT,20mg150sIRMS_delay,100,152,20,1,1,0,0,0.1877,,12/19/22 17:07
5,"Nu,Cu",MT,20mg150sIRMS_delay,100,136,31,1,1,0,0,0.3163,,12/19/22 17:21
6,Nu,MT,20mg150sIRMS_delay,100,134,0,1,1,0,0,0,,12/19/22 17:34
7,,runin,20mg150sIRMS_delay,0.512,2665,5862,1,1,13.58,41.94,3.0885,,12/19/22 18:09
8,,runin,20mg150sIRMS_delay,0.516,2570,5790,1,1,13,41.1,3.1627,,12/19/22 18:22
9,,runin,20mg150sIRMS_delay,0.55,2339,5620,1,1,11.1,37.43,3.3731,,12/19/22 18:35
10,,aspartic,20mg150sIRMS_delay,0.503,2649,5365,0.7655,0.9239,10.52,36.09,3.4306,,12/19/22 18:48
11,,aspartic,20mg150sIRMS_delay,0.482,2464,5594,0.7887,0.849,10.52,36.09,3.4306,,12/19/22 19:01
12,,aspartic,20mg150sIRMS_delay,0.495,2175,5439,0.9176,0.8968,10.52,36.09,3.4306,,12/19/22 19:14
13,"Nu,Cu",105,20mg150sIRMS_delay,9.855,256,573,0.8239,0.8899,0.06,0.19,3.3799,,12/19/22 20:07
14,"Nu,Cu",105,20mg150sIRMS_delay,10.098,193,588,0.8239,0.8899,0.04,0.19,4.5937,,12/19/22 20:20
15,"Nu,Cu",105,20mg150sIRMS_delay,10.483,183,614,0.8239,0.8899,0.04,0.19,5.0692,,12/19/22 20:33
16,"Nu,Cu",92,20mg150sIRMS_delay,10.106,240,1526,0.8239,0.8899,0.05,0.49,9.5739,,12/19/22 20:46
17,"Nu,Cu",92,20mg150sIRMS_delay,10.414,258,1815,0.8239,0.8899,0.05,0.57,10.626,,12/19/22 21:00
18,"Nu,Cu",92,20mg150sIRMS_delay,9.928,271,1394,0.8239,0.8899,0.06,0.46,7.77,,12/19/22 21:13
19,"Nu,Cu",97,20mg150sIRMS_delay,10.43,154,776,0.8239,0.8899,0.03,0.24,7.625,,12/19/22 21:26
20,"Nu,Cu",97,20mg150sIRMS_delay,9.839,203,719,0.8239,0.8899,0.04,0.24,5.3479,,12/19/22 21:39
21,"Nu,Cu",97,20mg150sIRMS_delay,10.447,231,776,0.8239,0.8899,0.05,0.24,5.0704,,12/19/22 21:52
22,"Nu,Cu",102,20mg150sIRMS_delay,9.877,269,1661,0.8239,0.8899,0.06,0.55,9.3271,,12/19/22 22:05
23,"Nu,Cu",102,20mg150sIRMS_delay,10.482,300,1664,0.8239,0.8899,0.06,0.52,8.3774,,12/19/22 22:19
24,"Nu,Cu",102,20mg150sIRMS_delay,10.119,202,1632,0.8239,0.8899,0.04,0.53,12.1801,,12/19/22 22:32
25,"Nu,Cu",135,20mg150sIRMS_delay,9.542,215,956,0.8239,0.8899,0.05,0.33,6.7013,,12/19/22 22:45
26,"Nu,Cu",135,20mg150sIRMS_delay,9.634,268,1080,0.8239,0.8899,0.06,0.37,6.0913,,12/19/22 22:58
27,"Nu,Cu",135,20mg150sIRMS_delay,10.333,176,1301,0.8239,0.8899,0.04,0.41,11.1778,,12/19/22 23:11
28,"Nu,Cu",MT,20mg150sIRMS_delay,100,141,44,0.8239,0.8899,0,0,0.466,,12/19/22 23:25
29,,aspartic,20mg150sIRMS_delay,0.519,2188,5749,0.9564,0.8894,10.52,36.09,3.4306,,12/19/22 23:38
30,"Nu,Cu",124,20mg150sIRMS_delay,9.576,256,1048,0.9564,0.8894,0.07,0.36,5.3248,,12/19/22 23:51
31,"Nu,Cu",124,20mg150sIRMS_delay,9.956,195,968,0.9564,0.8894,0.05,0.32,6.442,,12/20/22 0:04
32,"Nu,Cu",124,20mg150sIRMS_delay,10.077,310,993,0.9564,0.8894,0.08,0.32,4.1646,,12/20/22 0:17
33,,129,20mg150sIRMS_delay,10.072,1066,14394,0.9564,0.8894,0.26,4.68,17.6724,,12/20/22 0:31
34,,129,20mg150sIRMS_delay,10.189,1188,15999,0.9564,0.8894,0.29,5.15,17.6459,,12/20/22 0:44
35,,129,20mg150sIRMS_delay,10.427,1003,13591,0.9564,0.8894,0.24,4.27,17.719,,12/20/22 0:57
36,"Nu,Cu",132,20mg150sIRMS_delay,9.571,184,566,0.9564,0.8894,0.05,0.19,3.9995,,12/20/22 1:10
37,"Nu,Cu",132,20mg150sIRMS_delay,9.797,178,569,0.9564,0.8894,0.05,0.19,4.1539,,12/20/22 1:23
38,"Nu,Cu",132,20mg150sIRMS_delay,10.247,203,572,0.9564,0.8894,0.05,0.18,3.6658,,12/20/22 1:37
39,"Nu,Cu",MT,20mg150sIRMS_delay,100,145,47,0.9564,0.8894,0,0,0.4161,,12/20/22 1:50
40,,aspartic,20mg150sIRMS_delay,0.465,1997,5141,0.9388,0.8913,10.52,36.09,3.4306,,12/20/22 2:03
41,Cu,aspartic-0.1mg,20mg150sIRMS_delay,0.122,658,1492,0.9388,0.8913,13.3,40.04,3.011,, 
42,,aspartic,20mg150sIRMS_delay,1.026,4374,10842,0.9466,0.9296,10.52,36.09,3.4306,, 
43,bl,aspartic-3 mg,20mg150sIRMS_delay,3.039,13858,28399,0.9466,0.9296,11.24,32.01,2.8485,,12/20/22 2:43
44,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.054,326,798,0.9466,0.9296,15.01,50.47,3.3612,,12/20/22 2:57
45,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.047,226,580,0.9466,0.9296,11.96,42.12,3.5224,,12/20/22 3:10
46,"Nu,Cu",moran-med,20mg150sIRMS_delay,0.041,251,603,0.9466,0.9296,15.22,50.21,3.2984,,12/20/22 3:23
47,"Nu,Cu",moran-med,20mg150sIRMS_delay,0.044,439,593,0.9466,0.9296,24.82,46,1.8532,,12/20/22 3:36
48,"Nu,Cu",MT,20mg150sIRMS_delay,100,250,30,0.9466,0.9296,0.01,0,0.166,,12/20/22 9:37
49,"Nu,Cu",MT,20mg150sIRMS_delay,100,126,12,0.9466,0.9296,0,0,0.1266,,12/20/22 9:50
50,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.037,208,504,0.9466,0.9296,13.98,46.55,3.331,,12/20/22 10:03
51,"Nu,Cu",moran-med,20mg150sIRMS_delay,0.055,268,701,0.9466,0.9296,12.13,43.51,3.5866,,12/20/22 10:17
52,,,,0,0,0,0.9466,0.9296,0,0,0,, 
