Sample_Name,Original Date Received,Status,Date_Analyzed,Storage Location,Notes,ECA Protocol (from Kit_ID)
EC_016_SCN-D1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_019_SCN-D1,,,,,,Not used for ECA
EC_019_SCN-D2,,,,,,Not used for ECA
EC_019_SCN-D3,,,,,,Not used for ECA
EC_019_SCN-D4,,,,,,Not used for ECA
EC_019_SCN-D5,,,,,,Not used for ECA
EC_019_SCN-W1,,,,,,Not used for ECA
EC_019_SCN-W2,,,,,,Not used for ECA
EC_019_SCN-W3,,,,,,Not used for ECA
EC_019_SCN-W4,,,,,,Not used for ECA
EC_019_SCN-W5,,,,,,Not used for ECA
EC_020_SCN-D1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D1,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D2,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D3,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D4,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D5,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W1,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W2,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W3,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W4,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W5,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_031_SCN-D1,,,,,,Not used for ECA
EC_031_SCN-D2,,,,,,Not used for ECA
EC_031_SCN-D3,,,,,,Not used for ECA
EC_031_SCN-D4,,,,,,Not used for ECA
EC_031_SCN-D5,,,,,,Not used for ECA
EC_031_SCN-W1,,,,,,Not used for ECA
EC_031_SCN-W2,,,,,,Not used for ECA
EC_031_SCN-W3,,,,,,Not used for ECA
EC_031_SCN-W4,,,,,,Not used for ECA
EC_031_SCN-W5,,,,,,Not used for ECA
EC_036_SCN-D1,,,,,,Not used for ECA
EC_036_SCN-D2,,,,,,Not used for ECA
EC_036_SCN-D3,,,,,,Not used for ECA
EC_036_SCN-D4,,,,,,Not used for ECA
